#Dirchilet BC  (from /Users/houben/PhD/transect/transect/ogs/dipped/horizontal/thickness_55/transect_55_hor_RICHARDS_FLOW_BC_ST.asc.bc file) 
#Total BC nodes  276
#Node index, name, x, y, z,   value: 
232  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.282472540242e+01 1.000000000000e+01
233  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.288348859877e+01 1.000000000000e+01
234  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.294166416273e+01 1.000000000000e+01
235  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.299925796983e+01 1.000000000000e+01
236  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.305627584002e+01 1.000000000000e+01
237  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.311272353041e+01 1.000000000000e+01
238  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.316860674471e+01 1.000000000000e+01
239  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.322393112608e+01 1.000000000000e+01
240  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.327870226254e+01 1.000000000000e+01
241  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.333292568789e+01 1.000000000000e+01
242  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.338660687891e+01 1.000000000000e+01
243  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.343975126043e+01 1.000000000000e+01
244  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.349236419825e+01 1.000000000000e+01
245  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.354445100440e+01 1.000000000000e+01
246  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.359601694229e+01 1.000000000000e+01
247  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.364706721946e+01 1.000000000000e+01
248  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.369760699289e+01 1.000000000000e+01
249  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.374764136991e+01 1.000000000000e+01
250  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.379717540517e+01 1.000000000000e+01
251  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.384621410165e+01 1.000000000000e+01
252  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.389476241171e+01 1.000000000000e+01
253  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.394282523804e+01 1.000000000000e+01
254  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.399040743473e+01 1.000000000000e+01
255  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.403751380815e+01 1.000000000000e+01
256  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.408414911801e+01 1.000000000000e+01
257  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.413031807408e+01 1.000000000000e+01
258  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.417602534143e+01 1.000000000000e+01
259  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.422127553706e+01 1.000000000000e+01
260  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.426607323102e+01 1.000000000000e+01
261  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.431042294717e+01 1.000000000000e+01
262  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.435432916428e+01 1.000000000000e+01
263  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.439779632085e+01 1.000000000000e+01
264  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.444082880791e+01 1.000000000000e+01
265  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.448343096979e+01 1.000000000000e+01
266  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.452560710930e+01 1.000000000000e+01
267  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.456736148841e+01 1.000000000000e+01
268  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.460869832099e+01 1.000000000000e+01
269  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.464962178599e+01 1.000000000000e+01
